hole_id,prospect,sample_id,depth_from,depth_to,length,lith1,alt_1_type,alt_1_style,Au_ppm_preferred,Ag_ppm,Al_pct,As_ppm,B_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_pct,Ga_ppm,Ge_ppm,Hf_ppm,Hg_ppm,In_ppm,K_pct,La_ppm,Li_ppm,Lu_ppm,Mg_pct,Mn_pct,Mo_ppm,Na_pct,Nb_ppm,Ni_ppm,P_pct,Pb_ppm,Rb_ppm,Re_ppm,S_pct,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_pct,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm
HOLE_048,Jerimum de Cima,105106,61.00,62.00,1.00,SAP,SAP,PV,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105107,62.00,63.00,1.00,SAP,SAP,PV,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105108,63.00,64.00,1.00,SAP,SAP,PV,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105109,64.00,65.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105110,65.00,66.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105111,66.00,67.00,1.00,SAP,SAP,PV,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105112,67.00,68.00,1.00,SAP,SAP,PV,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105113,68.00,69.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105114,69.00,70.00,1.00,SAP,SAP,PV,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105115,70.00,71.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105116,71.00,72.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105117,72.00,73.00,1.00,SAP,SAP,PV,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105118,73.00,74.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105119,74.00,75.00,1.00,SAP,SAP,PV,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105120,75.00,76.00,1.00,SAP,SAP,PV,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105121,76.00,77.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105122,77.00,78.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105123,78.00,79.00,1.00,SAP,SAP,PV,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105124,79.00,80.00,1.00,SAP,SAP,PV,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105125,80.00,81.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105126,81.00,82.00,1.00,SAP,SAP,PV,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105127,0.00,1.00,1.00,SAP,SAP,PV,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105128,1.00,2.00,1.00,SAP,SAP,PV,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
